Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Performance_Index
Brand C,91942,382,15.3,6,0.625,0.705,0.21200000000000002,5844.6
Brand A,70075,197,32.6,4,0.375,0.2425,0.904,6422.200000000001
Brand C,84524,188,34.9,6,0.625,0.22,0.996,6561.2
Brand E,68939,258,15.1,2,0.125,0.395,0.204,3895.7999999999997
Brand X,66505,277,13.0,8,0.875,0.4425,0.12,3601.0
Brand W,92762,125,18.5,1,0.0,0.0625,0.34,2312.5
Brand Y,99356,284,20.6,3,0.25,0.46,0.42400000000000004,5850.400000000001
Brand A,38486,445,22.0,4,0.375,0.8625,0.48,9790.0
Brand A,54628,426,13.5,4,0.375,0.815,0.14,5751.0
Brand D,93925,250,22.1,9,1.0,0.375,0.48400000000000004,5525.0
Brand D,91392,196,34.6,9,1.0,0.24,0.9840000000000001,6781.6
Brand W,44426,243,28.9,1,0.0,0.3575,0.7559999999999999,7022.7
Brand B,80911,380,14.0,5,0.5,0.7,0.16,5320.0
Brand Z,70801,434,12.1,7,0.75,0.835,0.08399999999999999,5251.4
Brand Y,56553,267,26.6,3,0.25,0.4175,0.664,7102.200000000001
Brand C,98956,302,19.7,6,0.625,0.505,0.38799999999999996,5949.4
Brand D,41342,397,20.9,9,1.0,0.7425,0.43599999999999994,8297.3
Brand Y,56788,371,16.6,3,0.25,0.6775,0.26400000000000007,6158.6
Brand W,73681,368,22.8,1,0.0,0.67,0.512,8390.4
Brand C,63849,448,23.3,6,0.625,0.87,0.532,10438.4
Brand D,66440,392,31.5,9,1.0,0.73,0.86,12348.0
Brand D,32201,443,31.4,9,1.0,0.8575,0.856,13910.199999999999
Brand C,58132,271,14.4,6,0.625,0.4275,0.17600000000000002,3902.4
Brand W,55534,289,21.3,1,0.0,0.4725,0.452,6155.7
Brand D,58482,326,28.2,9,1.0,0.565,0.728,9193.199999999999
Brand D,62941,415,30.4,9,1.0,0.7875,0.816,12616.0
Brand Z,38558,425,33.3,7,0.75,0.8125,0.9319999999999999,14152.499999999998
Brand Z,89631,159,30.4,7,0.75,0.1475,0.816,4833.599999999999
Brand Y,81392,123,28.8,3,0.25,0.0575,0.752,3542.4
Brand Z,88737,133,15.3,7,0.75,0.0825,0.21200000000000002,2034.9
Brand Y,83940,418,30.6,3,0.25,0.795,0.8240000000000001,12790.800000000001
Brand W,78623,406,28.6,1,0.0,0.765,0.7440000000000001,11611.6
Brand E,54572,462,34.2,2,0.125,0.905,0.9680000000000001,15800.400000000001
Brand X,90994,412,21.5,8,0.875,0.78,0.46,8858.0
Brand E,93796,301,19.8,2,0.125,0.5025,0.392,5959.8
Brand Y,87899,375,34.5,3,0.25,0.6875,0.98,12937.5
Brand X,53136,348,29.8,8,0.875,0.62,0.792,10370.4
Brand D,59191,372,18.0,9,1.0,0.68,0.32,6696.0
Brand W,31549,293,20.0,1,0.0,0.4825,0.4,5860.0
Brand Y,65818,191,23.1,3,0.25,0.2275,0.524,4412.1
Brand W,32910,469,27.6,1,0.0,0.9225,0.7040000000000001,12944.400000000001
Brand A,38830,145,28.0,4,0.375,0.1125,0.72,4060.0
Brand B,49391,377,29.0,5,0.5,0.6925,0.76,10933.0
Brand Z,91045,479,15.4,7,0.75,0.9475,0.21600000000000003,7376.6
Brand D,83677,451,14.2,9,1.0,0.8775,0.16799999999999998,6404.2
Brand A,86547,237,22.0,4,0.375,0.3425,0.48,5214.0
Brand B,63487,399,26.4,5,0.5,0.7475,0.6559999999999999,10533.599999999999
Brand C,56290,206,19.9,6,0.625,0.265,0.39599999999999996,4099.4
Brand D,47458,388,24.8,9,1.0,0.72,0.5920000000000001,9622.4
Brand E,61479,342,22.3,2,0.125,0.605,0.49200000000000005,7626.6
Brand X,87307,488,14.2,8,0.875,0.97,0.16799999999999998,6929.599999999999
Brand D,71988,343,16.1,9,1.0,0.6075,0.24400000000000005,5522.3
Brand E,58456,138,30.1,2,0.125,0.095,0.804,4153.8
Brand X,66884,389,34.0,8,0.875,0.7225,0.96,13226.0
Brand C,46162,417,25.6,6,0.625,0.7925,0.6240000000000001,10675.2
Brand X,77816,200,12.6,8,0.875,0.25,0.10399999999999998,2520.0
Brand E,99746,417,12.6,2,0.125,0.7925,0.10399999999999998,5254.2
Brand C,34281,397,33.9,6,0.625,0.7425,0.956,13458.3
Brand B,49012,250,28.1,5,0.5,0.375,0.7240000000000001,7025.0
Brand X,71598,372,19.7,8,0.875,0.68,0.38799999999999996,7328.4
Brand B,49863,449,24.4,5,0.5,0.8725,0.576,10955.599999999999
Brand W,91999,476,25.2,1,0.0,0.94,0.608,11995.199999999999
Brand B,55450,186,32.5,5,0.5,0.215,0.9,6045.0
Brand A,38366,233,13.9,4,0.375,0.3325,0.15600000000000003,3238.7000000000003
Brand C,69103,132,15.9,6,0.625,0.08,0.23600000000000002,2098.8
Brand C,31700,191,32.0,6,0.625,0.2275,0.88,6112.0
Brand D,70482,474,33.0,9,1.0,0.935,0.92,15642.0
Brand W,72835,244,31.5,1,0.0,0.36,0.86,7686.0
Brand W,35571,354,25.5,1,0.0,0.635,0.62,9027.0
Brand X,37908,205,14.4,8,0.875,0.2625,0.17600000000000002,2952.0
Brand A,49095,197,16.6,4,0.375,0.2425,0.26400000000000007,3270.2000000000003
Brand A,98767,330,10.3,4,0.375,0.575,0.012000000000000028,3399.0000000000005
Brand W,33667,283,27.7,1,0.0,0.4575,0.708,7839.099999999999
Brand C,47868,154,14.9,6,0.625,0.135,0.196,2294.6
Brand Y,32684,222,28.9,3,0.25,0.305,0.7559999999999999,6415.799999999999
Brand Z,95983,271,19.6,7,0.75,0.4275,0.38400000000000006,5311.6
Brand X,89267,204,24.9,8,0.875,0.26,0.596,5079.599999999999
Brand X,33850,408,30.5,8,0.875,0.77,0.82,12444.0
Brand W,84671,152,16.5,1,0.0,0.13,0.26,2508.0
Brand W,54081,212,18.0,1,0.0,0.28,0.32,3816.0
Brand C,57404,357,34.2,6,0.625,0.6425,0.9680000000000001,12209.400000000001
Brand Z,76085,477,15.8,7,0.75,0.9425,0.23200000000000004,7536.6
Brand E,94629,414,25.3,2,0.125,0.785,0.612,10474.2
Brand C,39722,415,10.2,6,0.625,0.7875,0.007999999999999972,4233.0
Brand Z,75163,176,17.9,7,0.75,0.19,0.31599999999999995,3150.3999999999996
Brand A,82723,175,25.7,4,0.375,0.1875,0.628,4497.5
Brand D,69648,242,34.0,9,1.0,0.355,0.96,8228.0
Brand B,36457,119,31.3,5,0.5,0.0475,0.852,3724.7000000000003
Brand D,73006,175,24.4,9,1.0,0.1875,0.576,4270.0
Brand E,58809,487,18.4,2,0.125,0.9675,0.33599999999999997,8960.8
Brand C,60421,472,30.8,6,0.625,0.93,0.8320000000000001,14537.6
Brand B,60815,343,20.1,5,0.5,0.6075,0.4040000000000001,6894.3
Brand Y,82142,423,21.5,3,0.25,0.8075,0.46,9094.5
Brand Y,99304,449,25.8,3,0.25,0.8725,0.632,11584.2
Brand C,67139,196,16.9,6,0.625,0.24,0.27599999999999997,3312.3999999999996
Brand X,72244,209,17.0,8,0.875,0.2725,0.28,3553.0
Brand D,81681,137,18.5,9,1.0,0.0925,0.34,2534.5
Brand X,96377,102,12.1,8,0.875,0.005,0.08399999999999999,1234.2
Brand X,96461,214,28.5,8,0.875,0.285,0.74,6099.0
Brand W,49762,128,34.0,1,0.0,0.07,0.96,4352.0
Brand E,34119,453,17.6,2,0.125,0.8825,0.30400000000000005,7972.800000000001
Brand A,48537,181,23.4,4,0.375,0.2025,0.5359999999999999,4235.4
Brand X,94739,381,22.8,8,0.875,0.7025,0.512,8686.800000000001
Brand Y,41256,478,20.8,3,0.25,0.945,0.43200000000000005,9942.4
Brand D,80533,220,28.3,9,1.0,0.3,0.732,6226.0
Brand D,71517,393,34.2,9,1.0,0.7325,0.9680000000000001,13440.6
Brand A,73334,406,14.3,4,0.375,0.765,0.17200000000000004,5805.8
Brand W,50421,262,12.3,1,0.0,0.405,0.09200000000000003,3222.6000000000004
Brand B,48526,442,13.6,5,0.5,0.855,0.144,6011.2
Brand Y,72626,440,21.1,3,0.25,0.85,0.44400000000000006,9284.0
Brand Y,60759,138,29.2,3,0.25,0.095,0.768,4029.6
Brand A,33431,327,33.0,4,0.375,0.5675,0.92,10791.0
Brand D,64870,259,31.7,9,1.0,0.3975,0.868,8210.3
Brand B,70915,375,29.4,5,0.5,0.6875,0.7759999999999999,11025.0
Brand D,35527,203,34.0,9,1.0,0.2575,0.96,6902.0
Brand A,38953,121,25.9,4,0.375,0.0525,0.6359999999999999,3133.8999999999996
Brand W,49106,393,12.9,1,0.0,0.7325,0.11600000000000002,5069.7
Brand W,50976,350,29.7,1,0.0,0.625,0.7879999999999999,10395.0
Brand W,88322,371,31.7,1,0.0,0.6775,0.868,11760.699999999999
Brand Y,99437,364,13.1,3,0.25,0.66,0.12399999999999999,4768.4
Brand W,66089,133,15.1,1,0.0,0.0825,0.204,2008.3
